
S0066,3PARA RAT,,3PARA RAT is a remote access tool (RAT) programmed in C++ that has been used by Putter Panda.
S0099,Arp,arp.exe,Arp displays and modifies information about a system's Address Resolution Protocol (ARP) cache.
S0540,Asacub,Trojan-SMS.AndroidOS.Smaps,Asacub is a banking trojan that attempts to steal money from victims’ bank accounts. It attempts to do this by initiating a wire transfer via SMS message from compromised devices.
S0073,ASPXSpy,ASPXTool,ASPXSpy is a Web shell. It has been modified by Threat Group-3390 actors to create the ASPXTool version.
S0373,Astaroth,Guildma,"Astaroth is a Trojan and information stealer known to affect companies in Europe, Brazil, and throughout Latin America. It has been known publicly since at least late 2017."
S0110,at,at.exe,at is used to schedule tasks on a system to run at a specified date or time.
S0438,Attor,,Attor is a Windows-based espionage platform that has been seen in use since 2013. Attor has a loadable plugin architecture to customize functionality for specific targets.
S0347,AuditCred,Roptimizer,AuditCred is a malicious DLL that has been used by Lazarus Group during their 2018 attacks.
S1029,AuTo Stealer,,AuTo Stealer is malware written in C++ has been used by SideCopy since at least December 2021 to target government agencies and personnel in India and Afghanistan.
S0129,AutoIt backdoor,,AutoIt backdoor is malware that has been used by the actors responsible for the MONSOON campaign. The actors frequently used it in weaponized .pps files exploiting CVE-2014-6352.  This malware makes use of the legitimate scripting language for Windows GUI automation with the same name.
S0640,Avaddon,,Avaddon is ransomware written in C++ that has been offered as Ransomware-as-a-Service (RaaS) since at least June 2020.
S0473,Avenger,,Avenger is a downloader that has been used by BRONZE BUTLER since at least 2019.
S1053,AvosLocker,,"AvosLocker is ransomware written in C++ that has been offered via the Ransomware-as-a-Service (RaaS) model. It was first observed in June 2021 and has been used against financial services, critical manufacturing, government facilities, and other critical infrastructure sectors in the United States. As of March 2022, AvosLocker had also been used against organizations in Belgium, Canada, China, Germany, Saudi Arabia, Spain, Syria, Taiwan, Turkey, the United Arab Emirates, and the United Kingdom."
S0344,Azorult,,"Azorult is a commercial Trojan that is used to steal information from compromised hosts. Azorult has been observed in the wild as early as 2016.In July 2018, Azorult was seen used in a spearphishing campaign against targets in North America. Azorult has been seen used for cryptocurrency theft."
S0638,Babuk,"Babyk, Vasa Locker","Babuk is a Ransomware-as-a-service (RaaS) malware that has been used since at least 2021. The operators of Babuk employ a ""Big Game Hunting"" approach to targeting major enterprises and operate a leak site to post stolen data as part of their extortion scheme."
S0414,BabyShark,,BabyShark is a Microsoft Visual Basic (VB) script-based malware family that is believed to be associated with several North Korean campaigns.
S0475,BackConfig,,BackConfig is a custom Trojan with a flexible plugin architecture that has been used by Patchwork.
S0093,Backdoor.Oldrea,Havex,"Backdoor.Oldrea is a modular backdoor that used by Dragonfly against energy companies since at least 2013. Backdoor.Oldrea was distributed via supply chain compromise, and included specialized modules to enumerate and map ICS-specific systems, processes, and protocols."
S0031,BACKSPACE,Lecna,BACKSPACE is a backdoor used by APT30 that dates back to at least 2005.
S0606,Bad Rabbit,Win32/Diskcoder.D,Bad Rabbit is a self-propagating ransomware that affected the Ukrainian transportation sector in 2017. Bad Rabbit has also targeted organizations and consumers in Russia.
S0245,BADCALL,,BADCALL is a Trojan malware variant used by the group Lazarus Group.
S0642,BADFLICK,,BADFLICK is a backdoor used by Leviathan in spearphishing campaigns first reported in 2018 that targeted the U.S. engineering and maritime industries.
S0128,BADNEWS,,"BADNEWS is malware that has been used by the actors responsible for the Patchwork campaign. Its name was given due to its use of RSS feeds, forums, and blogs for command and control."
S0337,BadPatch,,BadPatch is a Windows Trojan that was used in a Gaza Hackers-linked campaign.
S0234,Bandook,,"Bandook is a commercially available RAT, written in Delphi and C++, that has been available since at least 2007. It has been used against government, financial, energy, healthcare, education, IT, and legal organizations in the US, South America, Europe, and Southeast Asia. Bandook has been used by Dark Caracal, as well as in a separate campaign referred to as ""Operation Manul""."
S0239,Bankshot,Trojan Manuscript,"Bankshot is a remote access tool (RAT) that was first reported by the Department of Homeland Security in December of 2017. In 2018, Lazarus Group used the Bankshot implant in attacks against the Turkish financial sector."
S0534,Bazar,"KEGTAP, Team9","Bazar is a downloader and backdoor that has been used since at least April 2020, with infections primarily against professional services, healthcare, manufacturing, IT, logistics and travel companies across the US and Europe. Bazar reportedly has ties to TrickBot campaigns and can be used to deploy additional malware, including ransomware, and to steal sensitive data."
S0470,BBK,,BBK is a downloader that has been used by BRONZE BUTLER since at least 2019.
S0127,BBSRAT,,BBSRAT is malware with remote access tool functionality that has been used in targeted compromises.
S0574,BendyBear,,"BendyBear is an x64 shellcode for a stage-zero implant designed to download malware from a C2 server. First discovered in August 2020, BendyBear shares a variety of features with Waterbear, malware previously attributed to the Chinese cyber espionage group BlackTech."
S0017,BISCUIT,,BISCUIT is a backdoor that has been used by APT1 since as early as 2007.
S0268,Bisonal,,"Bisonal is a remote access tool (RAT) that has been used by Tonto Team against public and private sector organizations in Russia, South Korea, and Japan since at least December 2010."
S0570,BitPaymer,"wp_encrypt, FriedEx","BitPaymer is a ransomware variant first observed in August 2017 targeting hospitals in the U.K. BitPaymer uses a unique encryption key, ransom note, and contact information for each operation. BitPaymer has several indicators suggesting overlap with the Dridex malware and is often delivered via Dridex."
S0190,BITSAdmin,,BITSAdmin is a command line tool used to create and manage BITS Jobs.
S1070,Black Basta,,"Black Basta is ransomware written in C++ that has been offered within the ransomware-as-a-service (RaaS) model since at least April 2022; there are variants that target Windows and VMWare ESXi servers. Black Basta operations have included the double extortion technique where in addition to demanding ransom for decrypting the files of targeted organizations the cyber actors also threaten to post sensitive information to a leak site if the ransom is not paid. Black Basta affiliates have targeted multiple high-value organizations, with the largest number of victims based in the U.S. Based on similarities in TTPs, leak sites, payment sites, and negotiation tactics, security researchers assess the Black Basta RaaS operators could include current or former members of the Conti group."
S1068,BlackCat,"ALPHV, Noberus","BlackCat is ransomware written in Rust that has been offered via the Ransomware-as-a-Service (RaaS) model. First observed November 2021, BlackCat has been used to target multiple sectors and organizations in various countries and regions in Africa, the Americas, Asia, Australia, and Europe."
S0069,BLACKCOFFEE,,BLACKCOFFEE is malware that has been used by several Chinese groups since at least 2013.
S0089,BlackEnergy,Black Energy,"BlackEnergy is a malware toolkit that has been used by both criminal and APT actors. It dates back to at least 2007 and was originally designed to create botnets for use in conducting Distributed Denial of Service (DDoS) attacks, but its use has evolved to support various plug-ins. It is well known for being used during the confrontation between Georgia and Russia in 2008, as well as in targeting Ukrainian institutions. Variants include BlackEnergy 2 and BlackEnergy 3."
S0564,BlackMould,,"BlackMould is a web shell based on China Chopper for servers running Microsoft IIS. First reported in December 2019, it has been used in malicious campaigns by GALLIUM against telecommunication providers."
S0520,BLINDINGCAN,,"BLINDINGCAN is a remote access Trojan that has been used by the North Korean government since at least early 2020 in cyber operations against defense, engineering, and government organizations in Western Europe and the US."
S0521,BloodHound,,BloodHound is an Active Directory (AD) reconnaissance tool that can reveal hidden relationships and identify attack paths within an AD environment.
S0657,BLUELIGHT,,BLUELIGHT is a remote access Trojan used by APT37 that was first observed in early 2021.
S0486,Bonadan,,Bonadan is a malicious version of OpenSSH which acts as a custom backdoor. Bonadan has been active since at least 2018 and combines a new cryptocurrency-mining module with the same credential-stealing module used by the Onderon family of backdoors.
S0360,BONDUPDATER,,"BONDUPDATER is a PowerShell backdoor used by OilRig. It was first observed in November 2017 during targeting of a Middle Eastern government organization, and an updated version was observed in August 2018 being used to target a government organization with spearphishing emails."
S0635,BoomBox,,BoomBox is a downloader responsible for executing next stage components that has been used by APT29 since at least 2021.
S0415,BOOSTWRITE,,BOOSTWRITE is a loader crafted to be launched via abuse of the DLL search order of applications used by FIN7.
S0114,BOOTRASH,,BOOTRASH is a Bootkit that targets Windows operating systems. It has been used by threat actors that target the financial sector.
S0651,BoxCaon,,BoxCaon is a Windows backdoor that was used by IndigoZebra in a 2021 spearphishing campaign against Afghan government officials. BoxCaon's name stems from similarities shared with the malware family xCaon.
S0293,BrainTest,,BrainTest is a family of Android malware.
S0252,Brave Prince,,"Brave Prince is a Korean-language implant that was first observed in the wild in December 2017. It contains similar code and behavior to Gold Dragon, and was seen along with Gold Dragon and RunningRAT in operations surrounding the 2018 Pyeongchang Winter Olympics."
S0432,Bread,Joker,"Bread was a large-scale billing fraud malware family known for employing many different cloaking and obfuscation techniques in an attempt to continuously evade Google Play Store’s malware detection. 1,700 unique Bread apps were detected and removed from the Google Play Store before being downloaded by users."
S0204,Briba,,Briba is a trojan used by Elderwood to open a backdoor and download files on to compromised hosts.
S1063,Brute Ratel C4,BRc4,"Brute Ratel C4 is a commercial red-teaming and adversarial attack simulation tool that first appeared in December 2020. Brute Ratel C4 was specifically designed to avoid detection by endpoint detection and response (EDR) and antivirus (AV) capabilities, and deploys agents called badgers to enable arbitrary command execution for lateral movement, privilege escalation, and persistence. In September 2022, a cracked version of Brute Ratel C4 was leaked in the cybercriminal underground, leading to its use by threat actors."
S0014,BS2005,,BS2005 is malware that was used by Ke3chang in spearphishing campaigns since at least 2011.
S0043,BUBBLEWRAP,Backdoor.APT.FakeWinHTTPHelper,"BUBBLEWRAP is a full-featured, second-stage backdoor used by the admin@338 group. It is set to run when the system boots and includes functionality to check, upload, and register plug-ins that can further enhance its capabilities."
S0471,build_downer,,build_downer is a downloader that has been used by BRONZE BUTLER since at least 2019.
S1039,Bumblebee,,"Bumblebee is a custom loader written in C++ that has been used by multiple threat actors, including possible initial access brokers, to download and execute additional payloads since at least March 2022. Bumblebee has been linked to ransomware operations including Conti, Quantum, and Mountlocker and derived its name from the appearance of ""bumblebee"" in the user-agent."
S0482,Bundlore,OSX.Bundlore,"Bundlore is adware written for macOS that has been in use since at least 2015. Though categorized as adware, Bundlore has many features associated with more traditional backdoors."
S0655,BusyGasper,,"BusyGasper is Android spyware that has been in use since May 2016. There have been less than 10 victims, all who appear to be located in Russia, that were all infected via physical access to the device."
S0119,Cachedump,,Cachedump is a publicly-available tool that program extracts cached password hashes from a system’s registry.
S0693,CaddyWiper,,CaddyWiper is a destructive data wiper that has been used in attacks against organizations in Ukraine since at least March 2022.
S0454,Cadelspy,,Cadelspy is a backdoor that has been used by APT39.
S0025,CALENDAR,,CALENDAR is malware used by APT1 that mimics legitimate Gmail Calendar traffic.
S0274,Calisto,,Calisto is a macOS Trojan that opens a backdoor on the compromised machine. Calisto is believed to have first been developed in 2016.
S0077,CallMe,,CallMe is a Trojan designed to run on Apple OSX. It is based on a publicly available tool called Tiny SHell.
S0351,Cannon,,Cannon is a Trojan with variants written in C# and Delphi. It was first observed in April 2018.
S0030,Carbanak,Anunak,"Carbanak is a full-featured, remote backdoor used by a group of the same name (Carbanak). It is intended for espionage, data exfiltration, and providing remote access to infected machines."
S0484,Carberp,,"Carberp is a credential and information stealing malware that has been active since at least 2009. Carberp's source code was leaked online in 2013, and subsequently used as the foundation for the Carbanak backdoor."
S0335,Carbon,,"Carbon is a sophisticated, second-stage backdoor and framework that can be used to steal sensitive information from victims. Carbon has been selectively used by Turla to target government and foreign affairs-related organizations in Central Asia."
S0529,CarbonSteal,,CarbonSteal is one of a family of four surveillanceware tools that share a common C2 infrastructure. CarbonSteal primarily deals with audio surveillance.
S0348,Cardinal RAT,,Cardinal RAT is a potentially low volume remote access trojan (RAT) observed since December 2015. Cardinal RAT is notable for its unique utilization of uncompiled C# source code and the Microsoft Windows built-in csc.exe compiler.
S0465,CARROTBALL,,CARROTBALL is an FTP downloader utility that has been in use since at least 2019. CARROTBALL has been used as a downloader to install SYSCON.
S0462,CARROTBAT,,CARROTBAT is a customized dropper that has been in use since at least 2017. CARROTBAT has been used to install SYSCON and has infrastructure overlap with KONNI.
S0261,Catchamas,,Catchamas is a Windows Trojan that steals information from compromised systems.
S0572,Caterpillar WebShell,,Caterpillar WebShell is a self-developed Web Shell tool created by the group Volatile Cedar.
S0222,CCBkdr,,CCBkdr is malware that was injected into a signed version of CCleaner and distributed from CCleaner's distribution website.
S1043,ccf32,,"ccf32 is data collection malware that has been used since at least February 2019, most notably during the FunnyDream campaign; there is also a similar x64 version."
S0480,Cerberus,,"Cerberus is a banking trojan whose usage can be rented on underground forums and marketplaces. Prior to being available to rent, the authors of Cerberus claim was used in private operations for two years."
S0160,certutil,certutil.exe,certutil is a command-line utility that can be used to obtain certificate authority information and configure Certificate Services.
S0631,Chaes,,"Chaes is a multistage information stealer written in several programming languages that collects login credentials, credit card numbers, and other financial information. Chaes was first observed in 2020, and appears to primarily target victims in Brazil as well as other e-commerce customers in Latin America."
S0220,Chaos,,"Chaos is Linux malware that compromises systems by brute force attacks against SSH services. Once installed, it provides a reverse shell to its controllers, triggered by unsolicited packets."
S0323,Charger,,Charger is Android malware that steals steals contacts and SMS messages from the user's device. It can also lock the device and demand ransom payment if it receives admin permissions.
S0674,CharmPower,,"CharmPower is a PowerShell-based, modular backdoor that has been used by Magic Hound since at least 2022."
S0144,ChChes,"Scorpion, HAYMAKER",ChChes is a Trojan that appears to be used exclusively by menuPass. It was used to target Japanese organizations in 2016. Its lack of persistence methods suggests it may be intended as a first-stage tool.
S0555,CHEMISTGAMES,,CHEMISTGAMES is a modular backdoor that has been deployed by Sandworm Team.
S0107,Cherry Picker,,Cherry Picker is a point of sale (PoS) memory scraper.
S0020,China Chopper,,China Chopper is a Web Shell hosted on Web servers to provide access back into an enterprise network that does not rely on an infected system calling back to a remote command and control server. It has been used by several threat groups.
S1041,Chinoxy,,"Chinoxy is a backdoor that has been used since at least November 2018, during the FunnyDream campaign, to gain persistence and drop additional payloads. According to security researchers, Chinoxy has been used by Chinese-speaking threat actors."
S0023,CHOPSTICK,"Backdoor.SofacyX, SPLM, Xagent, X-Agent, webhp","CHOPSTICK is a malware family of modular backdoors used by APT28. It has been used since at least 2012 and is usually dropped on victims as second-stage malware, though it has been used as first-stage malware in several cases. It has both Windows and Linux variants.     It is tracked separately from the X-Agent for Android."
S0667,Chrommme,,Chrommme is a backdoor tool written using the Microsoft Foundation Class (MFC) framework that was first reported in June 2021; security researchers noted infrastructure overlaps with Gelsemium malware.
S0602,Circles,,"Circles reportedly takes advantage of Signaling System 7 (SS7) weaknesses, the protocol suite used to route phone calls, to both track the location of mobile devices and intercept voice calls and SMS messages. It can be connected to a telecommunications company’s infrastructure or purchased as a cloud service. Circles has reportedly been linked to the NSO Group."
S0660,Clambling,,Clambling is a modular backdoor written in C++ that has been used by Threat Group-3390 since at least 2017.
S0611,Clop,,"Clop is a ransomware family that was first observed in February 2019 and has been used against retail, transportation and logistics, education, manufacturing, engineering, automotive, energy, financial, aerospace, telecommunications, professional and legal services, healthcare, and high tech industries. Clop is a variant of the CryptoMix ransomware."
S0054,CloudDuke,"MiniDionis, CloudLook",CloudDuke is malware that was used by APT29 in 2015.
S0106,cmd,cmd.exe,"cmd is the Windows command-line interpreter that can be used to interact with systems and execute other processes and utilities. Cmd.exe contains native functionality to perform many operations to interact with the system, including listing files in a directory (e.g., dir ), deleting files (e.g., del ), and copying files (e.g., copy )."
S0154,Cobalt Strike,,"Cobalt Strike is a commercial, full-featured, remote access tool that bills itself as ""adversary simulation software designed to execute targeted attacks and emulate the post-exploitation actions of advanced threat actors"". Cobalt Strike’s interactive post-exploit capabilities cover the full range of ATT&CK tactics, all executed within a single, integrated system.In addition to its own capabilities, Cobalt Strike leverages the capabilities of other well-known tools such as Metasploit and Mimikatz."
S0338,Cobian RAT,,"Cobian RAT is a backdoor, remote access tool that has been observed since 2016."
S0369,CoinTicker,,CoinTicker is a malicious application that poses as a cryptocurrency price ticker and installs components of the open source backdoors EvilOSX and EggShell.
S0244,Comnie,,Comnie is a remote backdoor which has been used in attacks in East Asia.
S0126,ComRAT,,"ComRAT is a second stage implant suspected of being a descendant of Agent.btz and used by Turla. The first version of ComRAT was identified in 2007, but the tool has undergone substantial development for many years since."
S0426,Concipit1248,Corona Updates,Concipit1248 is iOS spyware that was discovered using the same name as the developer of the Android spyware Corona Updates. Further investigation revealed that the two pieces of software contained the same C2 URL and similar functionality.
S0608,Conficker,"Kido, Downadup","Conficker is a computer worm first detected in October 2008 that targeted Microsoft Windows using the MS08-067 Windows vulnerability to spread. In 2016, a variant of Conficker made its way on computers and removable disk drives belonging to a nuclear power plant."
S0591,ConnectWise,ScreenConnect,ConnectWise is a legitimate remote administration tool that has been used since at least 2016 by threat actors including MuddyWater and GOLD SOUTHFIELD to connect to and conduct lateral movement in target environments.
S0575,Conti,,"Conti is a Ransomware-as-a-Service (RaaS) that was first observed in December 2019. Conti has been deployed via TrickBot and used against major corporations and government agencies, particularly those in North America. As with other ransomware families, actors using Conti steal sensitive files and information from compromised networks, and threaten to publish this data unless the ransom is paid."
S0492,CookieMiner,,CookieMiner is mac-based malware that targets information associated with cryptocurrency exchanges as well as enabling cryptocurrency mining on the victim system itself. It was first discovered in the wild in 2019.
S0212,CORALDECK,,CORALDECK is an exfiltration tool used by APT37.
S0137,CORESHELL,"Sofacy, SOURFACE",CORESHELL is a downloader used by APT28. The older versions of this malware are known as SOURFACE and newer versions as CORESHELL.
S0425,Corona Updates,"Wabi Music, Concipit1248",Corona Updates is Android spyware that took advantage of the Coronavirus pandemic. The campaign distributing this spyware is tracked as Project Spy. Multiple variants of this spyware have been discovered to have been hosted on the Google Play Store.
S0050,CosmicDuke,"TinyBaron, BotgenStudios, NemesisGemina",CosmicDuke is malware that was used by APT29 from 2010 to 2015.
S0614,CostaBricks,,CostaBricks is a loader that was used to deploy 32-bit backdoors in the CostaRicto campaign.
S0046,CozyCar,"CozyDuke, CozyBear, Cozer, EuroAPT","CozyCar is malware that was used by APT29 from 2010 to 2015. It is a modular malware platform, and its backdoor component can be instructed to download and execute a variety of modules with different functionality."
S0488,CrackMapExec,,"CrackMapExec, or CME, is a post-exploitation tool developed in Python and designed for penetration testing against networks. CrackMapExec collects Active Directory information to conduct lateral movement through targeted networks."
S1023,CreepyDrive,,CreepyDrive is a custom implant has been used by POLONIUM since at least early 2022 for C2 with and exfiltration to actor-controlled OneDrive accounts.POLONIUM has used a similar implant called CreepyBox that relies on actor-controlled DropBox accounts.
S1024,CreepySnail,,CreepySnail is a custom PowerShell implant that has been used by POLONIUM since at least 2022.
S0115,Crimson,MSIL/Crimson,Crimson is a remote access Trojan that has been used by Transparent Tribe since at least 2016.
S0235,CrossRAT,,CrossRAT is a cross platform RAT.
S0538,Crutch,,Crutch is a backdoor designed for document theft that has been used by Turla since at least 2015.
S0498,Cryptoistic,,"Cryptoistic is a backdoor, written in Swift, that has been used by Lazarus Group."
S0527,CSPY Downloader,,CSPY Downloader is a tool designed to evade analysis and download additional payloads used by Kimsuky.
S0625,Cuba,,"Cuba is a Windows-based ransomware family that has been used against financial institutions, technology, and logistics organizations in North and South America as well as Europe since at least December 2019."
S0687,Cyclops Blink,,"Cyclops Blink is a modular malware that has been used in widespread campaigns by Sandworm Team since at least 2019 to target Small/Home Office (SOHO) network devices, including WatchGuard and Asus."
S0497,Dacls,,Dacls is a multi-platform remote access tool used by Lazarus Group since at least December 2019.
S1014,DanBot,,DanBot is a first-stage remote access Trojan written in C# that has been used by HEXANE since at least 2018.
S0334,DarkComet,"DarkKomet, Fynloski, Krademok, FYNLOS",DarkComet is a Windows remote administration tool and backdoor.
S1066,DarkTortilla,,"DarkTortilla is a highly configurable .NET-based crypter that has been possibly active since at least August 2015. DarkTortilla has been used to deliver popular information stealers, RATs, and payloads such as Agent Tesla, AsyncRat, NanoCore, RedLine, Cobalt Strike, and Metasploit."
S0673,DarkWatchman,,DarkWatchman is a lightweight JavaScript-based remote access tool (RAT) that avoids file operations; it was first observed in November 2021.
S0187,Daserf,"Muirim, Nioupale","Daserf is a backdoor that has been used to spy on and steal from Japanese, South Korean, Russian, Singaporean, and Chinese victims. Researchers have identified versions written in both Visual C and Delphi."
S1033,DCSrv,,"DCSrv is destructive malware that has been used by Moses Staff since at least  September 2021. Though DCSrv has ransomware-like capabilities, Moses Staff does not demand ransom or offer a decryption key."
S0255,DDKONG,,DDKONG is a malware sample that was part of a campaign by Rancor. DDKONG was first seen used in February 2017.
S1052,DEADEYE,"DEADEYE.EMBED, DEADEYE.APPEND",DEADEYE is a malware launcher that has been used by APT41 since at least May 2021. DEADEYE has variants that can either embed a payload inside a compiled binary (DEADEYE.EMBED) or append it to the end of a file (DEADEYE.APPEND).
S0243,DealersChoice,,DealersChoice is a Flash exploitation framework used by APT28.
S0616,DEATHRANSOM,,"DEATHRANSOM is ransomware written in C that has been used since at least 2020, and has potential overlap with FIVEHANDS and HELLOKITTY."
S0479,DEFENSOR ID,,DEFENSOR ID is a banking trojan capable of clearing a victim’s bank account or cryptocurrency wallet and taking over email or social media accounts. DEFENSOR ID performs the majority of its malicious functionality by abusing Android’s accessibility service.
S0301,Dendroid,,Dendroid is an Android remote access tool (RAT) primarily targeting Western countries. The RAT was available for purchase for $300 and came bundled with a utility to inject the RAT into legitimate applications.
S0354,Denis,,Denis is a Windows backdoor and Trojan used by APT32. Denis shares several similarities to the SOUNDBITE backdoor and has been used in conjunction with the Goopy backdoor.
S0021,Derusbi,PHOTO,Derusbi is malware used by multiple Chinese APT groups. Both Windows and Linux variants have been observed.
S0505,Desert Scorpion,,"Desert Scorpion is surveillanceware that has targeted the Middle East, specifically individuals located in Palestine. Desert Scorpion is suspected to have been operated by the threat actor APT-C-23."
S0659,Diavol,,Diavol is a ransomware variant first observed in June 2021 that is capable of prioritizing file types to encrypt based on a pre-configured list of extensions defined by the attacker. Diavol has been deployed by Bazar and is thought to have potential ties to Wizard Spider.
S0200,Dipsind,,Dipsind is a malware family of backdoors that appear to be used exclusively by PLATINUM.
S1021,DnsSystem,,"DnsSystem is a .NET based DNS backdoor, which is a customized version of the open source tool DIG.net, that has been used by HEXANE since at least June 2022."
S0213,DOGCALL,,DOGCALL is a backdoor used by APT37 that has been used to target South Korean government and military organizations in 2017. It is typically dropped using a Hangul Word Processor (HWP) exploit.
S0281,Dok,Retefe,Dok is a Trojan application disguised as a .zip file that is able to collect user credentials and install a malicious proxy server to redirect a user's network traffic (i.e. Adversary-in-the-Middle).
S0600,Doki,,Doki is a backdoor that uses a unique Dogecoin-based Domain Generation Algorithm and was first observed in July 2020. Doki was used in conjunction with the Ngrok Mining Botnet in a campaign that targeted Docker servers in cloud platforms.
S0695,Donut,,Donut is an open source framework used to generate position-independent shellcode. Donut generated code has been used by multiple threat actors to inject and load malicious payloads into memory.
S0550,DoubleAgent,,"DoubleAgent is a family of RAT malware dating back to 2013, known to target groups with contentious relationships with the Chinese government."
S0472,down_new,,down_new is a downloader that has been used by BRONZE BUTLER since at least 2019.
S0134,Downdelph,Delphacy,Downdelph is a first-stage downloader written in Delphi that has been used by APT28 in rare instances between 2013 and 2015.
S0186,DownPaper,,DownPaper is a backdoor Trojan; its main functionality is to download and run second stage malware.
S0694,DRATzarus,,"DRATzarus is a remote access tool (RAT) that has been used by Lazarus Group to target the defense and aerospace organizations globally since at least summer 2020. DRATzarus shares similarities with Bankshot, which was used by Lazarus Group in 2017 to target the Turkish financial sector."
S0300,DressCode,,DressCode is an Android malware family.
S0384,Dridex,Bugat v5,"Dridex is a prolific banking Trojan that first appeared in 2014. By December 2019, the US Treasury estimated Dridex had infected computers in hundreds of banks and financial institutions in over 40 countries, leading to more than $100 million in theft. Dridex was created from the source code of the Bugat banking Trojan (also known as Cridex)."
S1054,Drinik,,"Drinik is an evolving Android banking trojan that was observed targeting customers of around 27 banks in India in August 2021. Initially seen as an SMS stealer in 2016, Drinik resurfaced as a banking trojan with more advanced capabilities included in subsequent versions between September 2021 and August 2022."
S0320,DroidJack,,DroidJack is an Android remote access tool that has been observed posing as legitimate applications including the Super Mario Run and Pokemon GO games.
S0547,DropBook,,DropBook is a Python-based backdoor compiled with PyInstaller.
S0502,Drovorub,,"Drovorub is a Linux malware toolset comprised of an agent, client, server, and kernel modules, that has been used by APT28."
S0105,dsquery,dsquery.exe,dsquery is a command-line utility that can be used to query Active Directory for information from a system within a domain.  It is typically installed only on Windows Server versions but can be installed on non-server variants through the Microsoft-provided Remote Server Administration Tools bundle.
S0567,Dtrack,,"Dtrack is spyware that was discovered in 2019 and has been used against Indian financial institutions, research facilities, and the Kudankulam Nuclear Power Plant. Dtrack shares similarities with the DarkSeoul campaign, which was attributed to Lazarus Group."
