id,text_to_embed
dtmi:digitaltwins:ngsi_ld:cim:energy:CurveStyle;1,CurveStyle(Style or shape of curve.)
dtmi:digitaltwins:ngsi_ld:cim:energy:UnitSymbol;1,y2Unit(The Y2-axis units of measure.)
dtmi:digitaltwins:ngsi_ld:cim:energy:ACDCTerminal;1,"ACDCTerminal(An electrical connection point (AC or DC) to a piece of conducting equipment. Terminals are connected at physical connection points called connectivity nodes.) has the following children:Terminal(An AC electrical connection point to a piece of conducting equipment. Terminals are connected at physical connection points called connectivity nodes.), is connected to:OperationalLimitSet(The operational limit sets associated with this equipment.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:OperationalLimitSet;1,OperationalLimitSet(The operational limit sets associated with this equipment.)
dtmi:digitaltwins:ngsi_ld:cim:energy:RegularTimePoint;1,"TimePoints(The regular interval time point data values that define this schedule.), is connected to:RegularIntervalSchedule(The schedule has time points where the time between them is constant.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:RegularIntervalSchedule;1,"RegularIntervalSchedule(The schedule has time points where the time between them is constant.) has the following children:SeasonDayTypeSchedule(A time schedule covering a 24 hour period, with curve data for a specific type of season and day.), is connected to:TimePoints(The regular interval time point data values that define this schedule.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:SubGeographicalRegion;1,"Region(The SubGeographicalRegion containing the DC line.), is connected to:Region(The geographical region which this sub-geographical region is within.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:VoltageLevel;1,", is connected to:BaseVoltage(Base voltage of the transformer end.  This is essential for PU calculation.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:Substation;1,", is connected to:DCConverterUnit(The DC converter unit belonging of the substation.), Region(The SubGeographicalRegion containing the DC line.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:ReportingGroup;1,"ReportingGroup(A reporting group is used for various ad-hoc groupings used for reporting.), is connected to:BusNameMarker"
dtmi:digitaltwins:ngsi_ld:cim:energy:BusNameMarker;1,BusNameMarker
dtmi:digitaltwins:ngsi_ld:cim:energy:DCConverterUnit;1,DCConverterUnit(The DC converter unit belonging of the substation.)
dtmi:digitaltwins:ngsi_ld:cim:energy:ConnectivityNode;1,"ConnectivityNodes(Connectivity nodes which belong to this connectivity node container.), is connected to:ConnectivityNodeContainer(A base class for all objects that may contain connectivity nodes or topological nodes.), BoundaryPoint(The boundary point associated with the connectivity node.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:BoundaryPoint;1,BoundaryPoint(The boundary point associated with the connectivity node.)
dtmi:digitaltwins:ngsi_ld:cim:energy:PowerSystemResource;1,"PowerSystemResource(A power system resource (PSR) can be an item of equipment such as a switch, an equipment container containing many individual items of equipment such as a substation, or an organisational entity such as sub-control area. Power system resources can have measurements associated.) has the following children:CAESPlant(Compressed air energy storage plant.), WindPowerPlant(Wind power plant.), HydroPowerPlant(A hydro power station which can generate or pump. When generating, the generator turbines receive water from an upper reservoir. When pumping, the pumps receive their water from a lower reservoir.), SolarPowerPlant, CogenerationPlant(A thermal generating unit may be a member of a cogeneration plant.), TapChanger(Mechanism for changing transformer winding tap positions.), RegulatingControl(Specifies a set of equipment that works together to control a power system quantity such as voltage or flow. 
Remote bus voltage control is possible by specifying the controlled terminal located at some place remote from the controlling equipment.
The specified terminal shall be associated with the connectivity node of the controlled point.  The most specific subtype of RegulatingControl shall be used in case such equipment participate in the control, e.g. TapChangerControl for tap changers.
For flow contro), relatedEquipment(connection to an equipment.), ConnectivityNodeContainer(A base class for all objects that may contain connectivity nodes or topological nodes.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:Terminal;1,"Terminal(An AC electrical connection point to a piece of conducting equipment. Terminals are connected at physical connection points called connectivity nodes.), is connected to:AuxiliaryEquipment(The auxiliary equipment connected to the terminal.), RegulatingControl(Specifies a set of equipment that works together to control a power system quantity such as voltage or flow. 
Remote bus voltage control is possible by specifying the controlled terminal located at some place remote from the controlling equipment.
The specified terminal shall be associated with the connectivity node of the controlled point.  The most specific subtype of RegulatingControl shall be used in case such equipment participate in the control, e.g. TapChangerControl for tap changers.
For flow contro), TieFlow(The control area tie flows to which this terminal associates.), phases(Represents the normal network phasing condition. If the attribute is missing, three phases (ABC) shall be assumed, except for terminals of grounding classes (specializations of EarthFaultCompensator, GroundDisconnector, and Ground) which will be assumed to be N. Therefore, phase code ABCN is explicitly declared when needed, e.g. for star point grounding equipment.
The phase code on terminals connecting same ConnectivityNode or same TopologicalNode as well as for equipment between two terminals shall be cons), ConnectivityNodes(Connectivity nodes which belong to this connectivity node container.), ConductingEquipment(The parts of the AC power system that are designed to carry current or that are conductively connected through terminals.), ConverterDCSides(All converters' DC sides linked to this point of common coupling terminal.), TransformerEnd(A conducting connection point of a power transformer. It corresponds to a physical transformer winding terminal.  In earlier CIM versions, the TransformerWinding class served a similar purpose, but this class is more flexible because it associates to terminal but is not a specialization of ConductingEquipment.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:AuxiliaryEquipment;1,AuxiliaryEquipment(The auxiliary equipment connected to the terminal.)
dtmi:digitaltwins:ngsi_ld:cim:energy:ConductingEquipment;1,"ConductingEquipment(The parts of the AC power system that are designed to carry current or that are conductively connected through terminals.) has the following children:PowerTransformer(An electrical device consisting of  two or more coupled windings, with or without a magnetic core, for introducing mutual coupling between electric circuits. Transformers can be used to control voltage and phase shift (active power flow).
A power transformer may be composed of separate transformer tanks that need not be identical.
A power transformer can be modelled with or without tanks and is intended for use in both balanced and unbalanced representations.   A power transformer typically has two terminal), Conductor(Combination of conducting material with consistent electrical characteristics, building a single electrical system, used to carry current between points in the power system.  ), EarthFaultCompensator(A conducting equipment used to represent a connection to ground which is typically used to compensate earth faults.   An earth fault compensator device modelled with a single terminal implies a second terminal solidly connected to ground.  If two terminals are modelled, the ground is not assumed and normal connection rules apply.), SeriesCompensator(A Series Compensator is a series capacitor or reactor or an AC transmission line without charging susceptance.  It is a two terminal device.), Connector(A conductor, or group of conductors, with negligible impedance, that serve to connect other conducting equipment within a single substation and are modelled with a single logical terminal.), EnergyConnection(A connection of energy generation or consumption on the power system model.), Clamp(A Clamp is a galvanic connection at a line segment where other equipment is connected. A Clamp does not cut the line segment. 
A Clamp is ConductingEquipment and has one Terminal with an associated ConnectivityNode. Any other ConductingEquipment can be connected to the Clamp ConnectivityNode.), Switch, is connected to:BaseVoltage(Base voltage of the transformer end.  This is essential for PU calculation.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:ACDCConverter;1,ConverterDCSides(All converters' DC sides linked to this point of common coupling terminal.)
dtmi:digitaltwins:ngsi_ld:cim:energy:RegulatingControl;1,"RegulatingControl(Specifies a set of equipment that works together to control a power system quantity such as voltage or flow. 
Remote bus voltage control is possible by specifying the controlled terminal located at some place remote from the controlling equipment.
The specified terminal shall be associated with the connectivity node of the controlled point.  The most specific subtype of RegulatingControl shall be used in case such equipment participate in the control, e.g. TapChangerControl for tap changers.
For flow contro) has the following children:TapChangerControl, is connected to:RegulationSchedule(Schedule for this regulating control.), RegulatingCondEq(The equipment that participates in this regulating control scheme.), mode(The regulating control mode presently available.  This specification allows for determining the kind of regulation without need for obtaining the units from a schedule.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:TieFlow;1,TieFlow(The control area tie flows to which this terminal associates.)
dtmi:digitaltwins:ngsi_ld:cim:energy:TransformerEnd;1,"TransformerEnd(A conducting connection point of a power transformer. It corresponds to a physical transformer winding terminal.  In earlier CIM versions, the TransformerWinding class served a similar purpose, but this class is more flexible because it associates to terminal but is not a specialization of ConductingEquipment.) has the following children:PowerTransformerEnd(The ends of this power transformer.), is connected to:RatioTapChanger(Ratio tap changer associated with this transformer end.), PhaseTapChanger(Phase tap changer associated with this transformer end.), BaseVoltage(Base voltage of the transformer end.  This is essential for PU calculation.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:PhaseCode;1,"phases(Represents the normal network phasing condition. If the attribute is missing, three phases (ABC) shall be assumed, except for terminals of grounding classes (specializations of EarthFaultCompensator, GroundDisconnector, and Ground) which will be assumed to be N. Therefore, phase code ABCN is explicitly declared when needed, e.g. for star point grounding equipment.
The phase code on terminals connecting same ConnectivityNode or same TopologicalNode as well as for equipment between two terminals shall be cons)"
dtmi:digitaltwins:ngsi_ld:cim:energy:Bay;1,"Bay(A collection of power system resources (within a given substation) including conducting equipment, protection relays, measurements, and telemetry.  A bay typically represents a physical grouping related to modularization of equipment.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:Fuse;1,Fuse(An overcurrent protective device with a circuit opening fusible part that is heated and severed by the passage of overcurrent through it. A fuse is considered a switching device because it breaks current.)
dtmi:digitaltwins:ngsi_ld:cim:energy:Switch;1,"Switch has the following children:Cut(A cut separates a line segment into two parts. The cut appears as a switch inserted between these two parts and connects them together. As the cut is normally open there is no galvanic connection between the two line segment parts. But it is possible to close the cut to get galvanic connection.
The cut terminals are oriented towards the line segment terminals with the same sequence number. Hence the cut terminal with sequence number equal to 1 is oriented to the line segment's terminal with sequence number ), Disconnector(A manually operated or motor operated mechanical switching device used for changing the connections in a circuit, or for isolating a circuit or equipment from a source of power. It is required to open or close circuits when negligible current is broken or made. ), Jumper(A short section of conductor with negligible impedance which can be manually removed and replaced if the circuit is de-energized. Note that zero-impedance branches can potentially be modelled by other equipment types.), ProtectedSwitch(A ProtectedSwitch is a switching device that can be operated by ProtectionEquipment.), Fuse(An overcurrent protective device with a circuit opening fusible part that is heated and severed by the passage of overcurrent through it. A fuse is considered a switching device because it breaks current.), is connected to:SwitchSchedule(A schedule of switch positions.  If RegularTimePoint.value1 is 0, the switch is open.  If 1, the switch is closed.  )"
dtmi:digitaltwins:ngsi_ld:cim:energy:Line;1,"Line(Contains equipment beyond a substation belonging to a power transmission line. ), is connected to:Region(The SubGeographicalRegion containing the DC line.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:SwitchSchedule;1,"SwitchSchedule(A schedule of switch positions.  If RegularTimePoint.value1 is 0, the switch is open.  If 1, the switch is closed.  ), is connected to:Switch"
dtmi:digitaltwins:ngsi_ld:cim:energy:Clamp;1,"Clamp(A Clamp is a galvanic connection at a line segment where other equipment is connected. A Clamp does not cut the line segment. 
A Clamp is ConductingEquipment and has one Terminal with an associated ConnectivityNode. Any other ConductingEquipment can be connected to the Clamp ConnectivityNode.), is connected to:ACLineSegment(The line segment to which the cut is applied.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:ACLineSegment;1,"ACLineSegment(The line segment to which the cut is applied.), is connected to:Conductor(Combination of conducting material with consistent electrical characteristics, building a single electrical system, used to carry current between points in the power system.  )"
dtmi:digitaltwins:ngsi_ld:cim:energy:EnergySchedulingType;1,"EnergySchedulingType(Energy Scheduling Type of an Energy Source.), is connected to:EnergySource(A generic equivalent for an energy supplier on a transmission or distribution voltage level.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:EnergySource;1,"EnergySource(A generic equivalent for an energy supplier on a transmission or distribution voltage level.), is connected to:EnergySchedulingType(Energy Scheduling Type of an Energy Source.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:NonlinearShuntCompensatorPoint;1,"NonlinearShuntCompensatorPoints(All points of the non-linear shunt compensator.), is connected to:NonlinearShuntCompensator(A non linear shunt compensator has bank or section admittance values that differ. The attributes g, b, g0 and b0 of the associated NonlinearShuntCompensatorPoint describe the total conductance and admittance of a NonlinearShuntCompensatorPoint at a section number specified by NonlinearShuntCompensatorPoint.sectionNumber.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:NonlinearShuntCompensator;1,"NonlinearShuntCompensator(A non linear shunt compensator has bank or section admittance values that differ. The attributes g, b, g0 and b0 of the associated NonlinearShuntCompensatorPoint describe the total conductance and admittance of a NonlinearShuntCompensatorPoint at a section number specified by NonlinearShuntCompensatorPoint.sectionNumber.), is connected to:NonlinearShuntCompensatorPoints(All points of the non-linear shunt compensator.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:DCLine;1,"DCLine(Overhead lines and/or cables connecting two or more HVDC substations.), is connected to:Region(The SubGeographicalRegion containing the DC line.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:DCEquipmentContainer;1,"DCEquipmentContainer(A modelling construct to provide a root class for containment of DC as well as AC equipment. The class differ from the EquipmentContaner for AC in that it may also contain DCNode-s. Hence it can contain both AC and DC equipment.) has the following children:DCLine(Overhead lines and/or cables connecting two or more HVDC substations.), is connected to:DCNodes(The DC nodes contained in the DC equipment container.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:LinearShuntCompensator;1,LinearShuntCompensator(A linear shunt compensator has banks or sections with equal admittance values.)
dtmi:digitaltwins:ngsi_ld:cim:energy:ShuntCompensator;1,"ShuntCompensator(A shunt capacitor or reactor or switchable bank of shunt capacitors or reactors. A section of a shunt compensator is an individual capacitor or reactor. A negative value for bPerSection indicates that the compensator is a reactor. ShuntCompensator is a single terminal device.  Ground is implied.) has the following children:NonlinearShuntCompensator(A non linear shunt compensator has bank or section admittance values that differ. The attributes g, b, g0 and b0 of the associated NonlinearShuntCompensatorPoint describe the total conductance and admittance of a NonlinearShuntCompensatorPoint at a section number specified by NonlinearShuntCompensatorPoint.sectionNumber.), LinearShuntCompensator(A linear shunt compensator has banks or sections with equal admittance values.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:EnergyConnection;1,"EnergyConnection(A connection of energy generation or consumption on the power system model.) has the following children:EnergySource(A generic equivalent for an energy supplier on a transmission or distribution voltage level.), RegulatingCondEq(The equipment that participates in this regulating control scheme.), EnergyConsumer(Generic user of energy - a  point of consumption on the power system model.
EnergyConsumer.pfixed, .qfixed, .pfixedPct and .qfixedPct have meaning only if there is no LoadResponseCharacteristic associated with EnergyConsumer or if LoadResponseCharacteristic.exponentModel is set to False.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:BusbarSection;1,"BusbarSection(A conductor, or group of conductors, with negligible impedance, that serve to connect other conducting equipment within a single substation. 
Voltage measurements are typically obtained from voltage transformers that are connected to busbar sections. A bus bar section may have many physical terminals but for analysis is modelled with exactly one logical terminal.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:Connector;1,"Connector(A conductor, or group of conductors, with negligible impedance, that serve to connect other conducting equipment within a single substation and are modelled with a single logical terminal.) has the following children:Junction(A point where one or more conducting equipments are connected with zero resistance.), BusbarSection(A conductor, or group of conductors, with negligible impedance, that serve to connect other conducting equipment within a single substation. 
Voltage measurements are typically obtained from voltage transformers that are connected to busbar sections. A bus bar section may have many physical terminals but for analysis is modelled with exactly one logical terminal.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:WindingConnection;1,connectionKind(Kind of connection.)
dtmi:digitaltwins:ngsi_ld:cim:energy:PhaseTapChangerLinear;1,"PhaseTapChangerLinear(Describes a tap changer with a linear relation between the tap step and the phase angle difference across the transformer. This is a mathematical model that is an approximation of a real phase tap changer.
The phase angle is computed as stepPhaseShiftIncrement times the tap position.
The voltage magnitude of both sides is the same.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:PhaseTapChanger;1,"PhaseTapChanger(Phase tap changer associated with this transformer end.) has the following children:PhaseTapChangerTabular(Describes a tap changer with a table defining the relation between the tap step and the phase angle difference across the transformer. ), PhaseTapChangerLinear(Describes a tap changer with a linear relation between the tap step and the phase angle difference across the transformer. This is a mathematical model that is an approximation of a real phase tap changer.
The phase angle is computed as stepPhaseShiftIncrement times the tap position.
The voltage magnitude of both sides is the same.), is connected to:TransformerEnd(A conducting connection point of a power transformer. It corresponds to a physical transformer winding terminal.  In earlier CIM versions, the TransformerWinding class served a similar purpose, but this class is more flexible because it associates to terminal but is not a specialization of ConductingEquipment.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:ReactiveCapabilityCurve;1,"InitialReactiveCapabilityCurve(The default reactive capability curve for use by a synchronous machine.), is connected to:EquivalentInjection(The equivalent injection using this reactive capability curve.), SynchronousMachine(An electromechanical device that operates with shaft rotating synchronously with the network. It is a single machine operating either as a generator or synchronous condenser or pump.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:EquivalentInjection;1,EquivalentInjection(The equivalent injection using this reactive capability curve.)
dtmi:digitaltwins:ngsi_ld:cim:energy:SynchronousMachine;1,"SynchronousMachine(An electromechanical device that operates with shaft rotating synchronously with the network. It is a single machine operating either as a generator or synchronous condenser or pump.), is connected to:InitialReactiveCapabilityCurve(The default reactive capability curve for use by a synchronous machine.), SynchronousMachineKind(Synchronous machine type.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:TapSchedule;1,"TapSchedules, is connected to:TapChanger(Mechanism for changing transformer winding tap positions.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:SeasonDayTypeSchedule;1,"SeasonDayTypeSchedule(A time schedule covering a 24 hour period, with curve data for a specific type of season and day.) has the following children:SwitchSchedule(A schedule of switch positions.  If RegularTimePoint.value1 is 0, the switch is open.  If 1, the switch is closed.  ), RegulationSchedule(Schedule for this regulating control.), TapSchedules, is connected to:DayType, Season"
dtmi:digitaltwins:ngsi_ld:cim:energy:TapChanger;1,"TapChanger(Mechanism for changing transformer winding tap positions.) has the following children:RatioTapChanger(Ratio tap changer associated with this transformer end.), PhaseTapChanger(Phase tap changer associated with this transformer end.), is connected to:TapChangerControl, TapSchedules"
dtmi:digitaltwins:ngsi_ld:cim:energy:Junction;1,Junction(A point where one or more conducting equipments are connected with zero resistance.)
dtmi:digitaltwins:ngsi_ld:cim:energy:RegulatingCondEq;1,"RegulatingCondEq(The equipment that participates in this regulating control scheme.) has the following children:PowerElectronicsConnection(A power electronics unit has a connection to the AC network.), RotatingMachine(A synchronous machine may operate as a generator and as such becomes a member of a generating unit.), StaticVarCompensator(A facility for providing variable and controllable shunt reactive power. The SVC typically consists of a stepdown transformer, filter, thyristor-controlled reactor, and thyristor-switched capacitor arms.

The SVC may operate in fixed MVar output mode or in voltage control mode. When in voltage control mode, the output of the SVC will be proportional to the deviation of voltage at the controlled bus from the voltage setpoint.  The SVC characteristic slope defines the proportion.  If the voltage at the contro), ShuntCompensator(A shunt capacitor or reactor or switchable bank of shunt capacitors or reactors. A section of a shunt compensator is an individual capacitor or reactor. A negative value for bPerSection indicates that the compensator is a reactor. ShuntCompensator is a single terminal device.  Ground is implied.), is connected to:RegulatingControl(Specifies a set of equipment that works together to control a power system quantity such as voltage or flow. 
Remote bus voltage control is possible by specifying the controlled terminal located at some place remote from the controlling equipment.
The specified terminal shall be associated with the connectivity node of the controlled point.  The most specific subtype of RegulatingControl shall be used in case such equipment participate in the control, e.g. TapChangerControl for tap changers.
For flow contro)"
dtmi:digitaltwins:ngsi_ld:cim:energy:RegulationSchedule;1,"RegulationSchedule(Schedule for this regulating control.), is connected to:RegulatingControl(Specifies a set of equipment that works together to control a power system quantity such as voltage or flow. 
Remote bus voltage control is possible by specifying the controlled terminal located at some place remote from the controlling equipment.
The specified terminal shall be associated with the connectivity node of the controlled point.  The most specific subtype of RegulatingControl shall be used in case such equipment participate in the control, e.g. TapChangerControl for tap changers.
For flow contro)"
dtmi:digitaltwins:ngsi_ld:cim:energy:RegulatingControlModeKind;1,mode(The regulating control mode presently available.  This specification allows for determining the kind of regulation without need for obtaining the units from a schedule.)
dtmi:digitaltwins:ngsi_ld:cim:energy:RatioTapChangerTable;1,"RatioTapChangerTable(The tap ratio table for this ratio  tap changer.), is connected to:RatioTapChanger(Ratio tap changer associated with this transformer end.), RatioTapChangerTablePoint(Describes each tap step in the ratio tap changer tabular curve.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:RatioTapChanger;1,"RatioTapChanger(Ratio tap changer associated with this transformer end.), is connected to:RatioTapChangerTable(The tap ratio table for this ratio  tap changer.), TransformerEnd(A conducting connection point of a power transformer. It corresponds to a physical transformer winding terminal.  In earlier CIM versions, the TransformerWinding class served a similar purpose, but this class is more flexible because it associates to terminal but is not a specialization of ConductingEquipment.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:RatioTapChangerTablePoint;1,"RatioTapChangerTablePoint(Describes each tap step in the ratio tap changer tabular curve.), is connected to:RatioTapChangerTable(The tap ratio table for this ratio  tap changer.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:DCNode;1,DCNodes(The DC nodes contained in the DC equipment container.)
dtmi:digitaltwins:ngsi_ld:cim:energy:RotatingMachine;1,"RotatingMachine(A synchronous machine may operate as a generator and as such becomes a member of a generating unit.) has the following children:AsynchronousMachine(A rotating machine whose shaft rotates asynchronously with the electrical field.  Also known as an induction machine with no external connection to the rotor windings, e.g. squirrel-cage induction machine.), SynchronousMachine(An electromechanical device that operates with shaft rotating synchronously with the network. It is a single machine operating either as a generator or synchronous condenser or pump.), is connected to:HydroPumps(The hydro pump may be a member of a pumped storage plant or a pump for distributing water.), GeneratingUnit(A single or set of synchronous machines for converting mechanical power into alternating-current power. For example, individual machines within a set may be defined for scheduling purposes while a single control signal is derived for the set. In this case there would be a GeneratingUnit for each member of the set and an additional GeneratingUnit corresponding to the set.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:SynchronousMachineKind;1,SynchronousMachineKind(Synchronous machine type.)
dtmi:digitaltwins:ngsi_ld:cim:energy:EnergyConsumer;1,"EnergyConsumer(Generic user of energy - a  point of consumption on the power system model.
EnergyConsumer.pfixed, .qfixed, .pfixedPct and .qfixedPct have meaning only if there is no LoadResponseCharacteristic associated with EnergyConsumer or if LoadResponseCharacteristic.exponentModel is set to False.), is connected to:LoadResponse(The load response characteristic of this load.  If missing, this load is assumed to be constant power.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:LoadResponseCharacteristic;1,"LoadResponse(The load response characteristic of this load.  If missing, this load is assumed to be constant power.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:PetersenCoil;1,PetersenCoil(A variable impedance device normally used to offset line charging during single line faults in an ungrounded section of network.)
dtmi:digitaltwins:ngsi_ld:cim:energy:EarthFaultCompensator;1,"EarthFaultCompensator(A conducting equipment used to represent a connection to ground which is typically used to compensate earth faults.   An earth fault compensator device modelled with a single terminal implies a second terminal solidly connected to ground.  If two terminals are modelled, the ground is not assumed and normal connection rules apply.) has the following children:PetersenCoil(A variable impedance device normally used to offset line charging during single line faults in an ungrounded section of network.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:TapChangerControl;1,"TapChangerControl, is connected to:TapChanger(Mechanism for changing transformer winding tap positions.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:DisconnectingCircuitBreaker;1,"DisconnectingCircuitBreaker(A circuit breaking device including disconnecting function, eliminating the need for separate disconnectors.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:Breaker;1,"Breaker(A mechanical switching device capable of making, carrying, and breaking currents under normal circuit conditions and also making, carrying for a specified time, and breaking currents under specified abnormal circuit conditions e.g.  those of short circuit.) has the following children:DisconnectingCircuitBreaker(A circuit breaking device including disconnecting function, eliminating the need for separate disconnectors.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:TapChangerTablePoint;1,"TapChangerTablePoint(Describes each tap step in the tabular curve.) has the following children:PhaseTapChangerTablePoint(The points of this table.), RatioTapChangerTablePoint(Describes each tap step in the ratio tap changer tabular curve.)"
dtmi:digitaltwins:ngsi_ld:cim:energy:ProtectedSwitch;1,"ProtectedSwitch(A ProtectedSwitch is a switching device that can be operated by ProtectionEquipment.) has the following children:Breaker(A mechanical switching device capable of making, carrying, and breaking currents under normal circuit conditions and also making, carrying for a specified time, and breaking currents under specified abnormal circuit conditions e.g.  those of short circuit.), LoadBreakSwitch(A mechanical switching device capable of making, carrying, and breaking currents under normal operating conditions.)"
