id,text_to_embed
G0022,"APT3(APT3 is a China-based threat group that researchers have attributed to China's Ministry of State Security. This group is responsible for the campaigns known as Operation Clandestine Fox, Operation Clandestine Wolf, and Operation Double Tap. As of June 2015, the group appears to have shifted from targeting primarily US victims to primarily political organizations in Hong Kong.In 2017, MITRE developed an APT3 Adversary Emulation Plan.) using the following: SHOTPUT(SHOTPUT is a custom backdoor used by APT3.), NOKKI(NOKKI is a modular remote access tool. The earliest observed attack using NOKKI was in January 2018. NOKKI has significant code overlap with the KONNI malware family. There is some evidence potentially linking NOKKI to APT37.), KONNI(KONNI is a remote access tool that security researchers assess has been used by North Korean cyber actors since at least 2014. KONNI has significant code overlap with the NOKKI malware family, and has been linked to several suspected North Korean campaigns targeting political organizations in Russia, East Asia, Europe and the Middle East; there is some evidence potentially linking KONNI to APT37.), Denis(Denis is a Windows backdoor and Trojan used by APT32. Denis shares several similarities to the SOUNDBITE backdoor and has been used in conjunction with the Goopy backdoor.), Cadelspy(Cadelspy is a backdoor that has been used by APT39.), POORAIM(POORAIM is a backdoor used by APT37 in campaigns since at least 2014.), SLOWDRIFT(SLOWDRIFT is a backdoor used by APT37 against academic and strategic victims in South Korea.), KOMPROGO(KOMPROGO is a signature backdoor used by APT32 that is capable of process, file, and registry management.), FLASHFLOOD(FLASHFLOOD is malware developed by APT30 that allows propagation and exfiltration of data over removable devices. APT30 may use this capability to exfiltrate data across air-gaps.), DOGCALL(DOGCALL is a backdoor used by APT37 that has been used to target South Korean government and military organizations in 2017. It is typically dropped using a Hangul Word Processor (HWP) exploit.), BACKSPACE(BACKSPACE is a backdoor used by APT30 that dates back to at least 2005.), SHUTTERSPEED(SHUTTERSPEED is a backdoor used by APT37.), ROKRAT(ROKRAT is a cloud-based remote access tool (RAT) used by APT37 to target victims in South Korea. APT37 has used ROKRAT during several campaigns from 2016 through 2021.), NETEAGLE(NETEAGLE is a backdoor developed by APT30 with compile dates as early as 2008. It has two main variants known as ""Scout"" and ""Norton.""), Goopy(Goopy is a Windows backdoor and Trojan used by APT32 and shares several similarities to another backdoor used by the group (Denis). Goopy is named for its impersonation of the legitimate Google Updater executable.), MechaFlounder(MechaFlounder is a python-based remote access tool (RAT) that has been used by APT39. The payload uses a combination of actor developed code and code snippets freely available online in development communities.), StoneDrill(StoneDrill is wiper malware discovered in destructive campaigns against both Middle Eastern and European targets in association with APT33.), HAPPYWORK(HAPPYWORK is a downloader used by APT37 to target South Korean government and financial victims in November 2016.), BLUELIGHT(BLUELIGHT is a remote access Trojan used by APT37 that was first observed in early 2021.), CORALDECK(CORALDECK is an exfiltration tool used by APT37.), SOUNDBITE(SOUNDBITE is a signature backdoor used by APT32.), Kerrdown(Kerrdown is a custom downloader that has been used by APT32 since at least 2018 to install spyware from a server on the victim's network.), PHOREAL(PHOREAL is a signature backdoor used by APT32.), SPACESHIP(SPACESHIP is malware developed by APT30 that allows propagation and exfiltration of data over removable devices. APT30 may use this capability to exfiltrate data across air-gaps.), POWERTON(POWERTON is a custom PowerShell backdoor first observed in 2018. It has typically been deployed as a late-stage backdoor by APT33. At least two variants of the backdoor have been identified, with the later version containing improved functionality.), OSInfo(OSInfo is a custom tool used by APT3 to do internal discovery on a victim's computer and network.), WINERACK(WINERACK is a backdoor used by APT37.), OSX_OCEANLOTUS.D(OSX_OCEANLOTUS.D is a MacOS backdoor with several variants that has been used by APT32.), WINDSHIELD(WINDSHIELD is a signature backdoor used by APT32.), SHIPSHAPE(SHIPSHAPE is malware developed by APT30 that allows propagation and exfiltration of data over removable devices. APT30 may use this capability to exfiltrate data across air-gaps.), KARAE(KARAE is a backdoor typically used by APT37 as first-stage malware.), RemoteCMD(RemoteCMD is a custom tool used by APT3 to execute commands on a remote system similar to SysInternal's PSEXEC functionality.), TURNEDUP(TURNEDUP is a non-public backdoor. It has been dropped by APT33's StoneDrill malware.)"
G0013,"APT30(APT30 is a threat group suspected to be associated with the Chinese government. While Naikon shares some characteristics with APT30, the two groups do not appear to be exact matches.) using the following: FLASHFLOOD(FLASHFLOOD is malware developed by APT30 that allows propagation and exfiltration of data over removable devices. APT30 may use this capability to exfiltrate data across air-gaps.), BACKSPACE(BACKSPACE is a backdoor used by APT30 that dates back to at least 2005.), SPACESHIP(SPACESHIP is malware developed by APT30 that allows propagation and exfiltration of data over removable devices. APT30 may use this capability to exfiltrate data across air-gaps.), SHIPSHAPE(SHIPSHAPE is malware developed by APT30 that allows propagation and exfiltration of data over removable devices. APT30 may use this capability to exfiltrate data across air-gaps.), NETEAGLE(NETEAGLE is a backdoor developed by APT30 with compile dates as early as 2008. It has two main variants known as ""Scout"" and ""Norton."")"
G0050,"APT32(APT32 is a suspected Vietnam-based threat group that has been active since at least 2014. The group has targeted multiple private sector industries as well as foreign governments, dissidents, and journalists with a strong focus on Southeast Asian countries like Vietnam, the Philippines, Laos, and Cambodia. They have extensively used strategic web compromises to compromise victims.) using the following: Kerrdown(Kerrdown is a custom downloader that has been used by APT32 since at least 2018 to install spyware from a server on the victim's network.), WINDSHIELD(WINDSHIELD is a signature backdoor used by APT32.), KOMPROGO(KOMPROGO is a signature backdoor used by APT32 that is capable of process, file, and registry management.), Denis(Denis is a Windows backdoor and Trojan used by APT32. Denis shares several similarities to the SOUNDBITE backdoor and has been used in conjunction with the Goopy backdoor.), OSX_OCEANLOTUS.D(OSX_OCEANLOTUS.D is a MacOS backdoor with several variants that has been used by APT32.), PHOREAL(PHOREAL is a signature backdoor used by APT32.), SOUNDBITE(SOUNDBITE is a signature backdoor used by APT32.), Goopy(Goopy is a Windows backdoor and Trojan used by APT32 and shares several similarities to another backdoor used by the group (Denis). Goopy is named for its impersonation of the legitimate Google Updater executable.)"
G0064,"APT33(APT33 is a suspected Iranian threat group that has carried out operations since at least 2013. The group has targeted organizations across multiple industries in the United States, Saudi Arabia, and South Korea, with a particular interest in the aviation and energy sectors.) using the following: POWERTON(POWERTON is a custom PowerShell backdoor first observed in 2018. It has typically been deployed as a late-stage backdoor by APT33. At least two variants of the backdoor have been identified, with the later version containing improved functionality.), StoneDrill(StoneDrill is wiper malware discovered in destructive campaigns against both Middle Eastern and European targets in association with APT33.), TURNEDUP(TURNEDUP is a non-public backdoor. It has been dropped by APT33's StoneDrill malware.)"
G0067,"APT37(APT37 is a North Korean state-sponsored cyber espionage group that has been active since at least 2012. The group has targeted victims primarily in South Korea, but also in Japan, Vietnam, Russia, Nepal, China, India, Romania, Kuwait, and other parts of the Middle East. APT37 has also been linked to the following campaigns between 2016-2018: Operation Daybreak, Operation Erebus, Golden Time, Evil New Year, Are you Happy?, FreeMilk, North Korean Human Rights, and Evil New Year 2018.North Korean group definitions are known to have significant overlap, and some security researchers report all North Korean state-sponsored cyber activity under the name Lazarus Group instead of tracking clusters or subgroups.) using the following: WINERACK(WINERACK is a backdoor used by APT37.), ROKRAT(ROKRAT is a cloud-based remote access tool (RAT) used by APT37 to target victims in South Korea. APT37 has used ROKRAT during several campaigns from 2016 through 2021.), BLUELIGHT(BLUELIGHT is a remote access Trojan used by APT37 that was first observed in early 2021.), POORAIM(POORAIM is a backdoor used by APT37 in campaigns since at least 2014.), KARAE(KARAE is a backdoor typically used by APT37 as first-stage malware.), CORALDECK(CORALDECK is an exfiltration tool used by APT37.), NOKKI(NOKKI is a modular remote access tool. The earliest observed attack using NOKKI was in January 2018. NOKKI has significant code overlap with the KONNI malware family. There is some evidence potentially linking NOKKI to APT37.), HAPPYWORK(HAPPYWORK is a downloader used by APT37 to target South Korean government and financial victims in November 2016.), SHUTTERSPEED(SHUTTERSPEED is a backdoor used by APT37.), SLOWDRIFT(SLOWDRIFT is a backdoor used by APT37 against academic and strategic victims in South Korea.), DOGCALL(DOGCALL is a backdoor used by APT37 that has been used to target South Korean government and military organizations in 2017. It is typically dropped using a Hangul Word Processor (HWP) exploit.), KONNI(KONNI is a remote access tool that security researchers assess has been used by North Korean cyber actors since at least 2014. KONNI has significant code overlap with the NOKKI malware family, and has been linked to several suspected North Korean campaigns targeting political organizations in Russia, East Asia, Europe and the Middle East; there is some evidence potentially linking KONNI to APT37.)"
G0087,"APT39(APT39 is one of several names for cyber espionage activity conducted by the Iranian Ministry of Intelligence and Security (MOIS) through the front company Rana Intelligence Computing since at least 2014. APT39 has primarily targeted the travel, hospitality, academic, and telecommunications industries in Iran and across Asia, Africa, Europe, and North America to track individuals and entities considered to be a threat by the MOIS.) using the following: Cadelspy(Cadelspy is a backdoor that has been used by APT39.), MechaFlounder(MechaFlounder is a python-based remote access tool (RAT) that has been used by APT39. The payload uses a combination of actor developed code and code snippets freely available online in development communities.)"
G0096,"APT41(APT41 is a threat group that researchers have assessed as Chinese state-sponsored espionage group that also conducts financially-motivated operations. Active since at least 2012, APT41 has been observed targeting healthcare, telecom, technology, and video game industries in 14 countries. APT41 overlaps at least partially with public reporting on groups including BARIUM and Winnti Group.) using the following: MESSAGETAP(MESSAGETAP is a data mining malware family deployed by APT41 into telecommunications networks to monitor and save SMS traffic from specific phone numbers, IMSI numbers, or that contain specific keywords.), DEADEYE(DEADEYE is a malware launcher that has been used by APT41 since at least May 2021. DEADEYE has variants that can either embed a payload inside a compiled binary (DEADEYE.EMBED) or append it to the end of a file (DEADEYE.APPEND).), Operation CuckooBees(Operation CuckooBees was a cyber espionage campaign targeting technology and manufacturing companies in East Asia, Western Europe, and North America since at least 2019. Security researchers noted the goal of Operation CuckooBees, which was still ongoing as of May 2022, was likely the theft of proprietary information, research and development documents, source code, and blueprints for various technologies. Researchers assessed Operation CuckooBees was conducted by actors affiliated with Winnti Group, APT41, and BARIUM.), KEYPLUG(KEYPLUG is a modular backdoor written in C++, with Windows and Linux variants, that has been used by APT41 since at least June 2021.), ShadowPad(ShadowPad is a modular backdoor that was first identified in a supply chain compromise of the NetSarang software in mid-July 2017. The malware was originally thought to be exclusively used by APT41, but has since been observed to be used by various Chinese threat activity groups.), C0017(C0017 was an APT41 campaign conducted between May 2021 and February 2022 that successfully compromised at least six U.S. state government networks through the exploitation of vulnerable Internet facing web applications. During C0017, APT41 was quick to adapt and use publicly-disclosed as well as zero-day vulnerabilities for initial access, and in at least two cases re-compromised victims following remediation efforts. The goals of C0017 are unknown, however APT41 was observed exfiltrating Personal Identifiable Information (PII).)"
G0001,"Axiom(Axiom is a suspected Chinese cyber espionage group that has targeted the aerospace, defense, government, manufacturing, and media sectors since at least 2008. Some reporting suggests a degree of overlap between Axiom and Winnti Group but the two groups appear to be distinct based on differences in reporting on TTPs and targeting.) using the following: Hikit(Hikit is malware that has been used by Axiom for late-stage persistence and exfiltration after the initial compromise.), Zox(Zox is a remote access tool that has been used by Axiom since at least 2008.)"
G0135,"BackdoorDiplomacy(BackdoorDiplomacy is a cyber espionage threat group that has been active since at least 2017. BackdoorDiplomacy has targeted Ministries of Foreign Affairs and telecommunication companies in Africa, Europe, the Middle East, and Asia.) using the following: Turian(Turian is a backdoor that has been used by BackdoorDiplomacy to target Ministries of Foreign Affairs, telecommunication companies, and charities in Africa, Europe, the Middle East, and Asia. First reported in 2021, Turian is likely related to Quarian, an older backdoor that was last observed being used in 2013 against diplomatic targets in Syria and the United States.)"
G1002,"BITTER(BITTER is a suspected South Asian cyber espionage threat group that has been active since at least 2013. BITTER has primarily targeted government, energy, and engineering organizations in Pakistan, China, Bangladesh, and Saudi Arabia.) using the following: ZxxZ(ZxxZ is a trojan written in Visual C++ that has been used by BITTER since at least August 2021, including against Bangladeshi government personnel.)"
G0098,"BlackTech(BlackTech is a suspected Chinese cyber espionage group that has primarily targeted organizations in East Asia--particularly Taiwan, Japan, and Hong Kong--and the US since at least 2013. BlackTech has used a combination of custom malware, dual-use tools, and living off the land tactics to compromise media, construction, engineering, electronics, and financial company networks.) using the following: Flagpro(Flagpro is a Windows-based, first-stage downloader that has been used by BlackTech since at least October 2020. It has primarily been used against defense, media, and communications companies in Japan.), TSCookie(TSCookie is a remote access tool (RAT) that has been used by BlackTech in campaigns against Japanese targets.. TSCookie has been referred to as PLEAD though more recent reporting indicates a separation between the two.), BendyBear(BendyBear is an x64 shellcode for a stage-zero implant designed to download malware from a C2 server. First discovered in August 2020, BendyBear shares a variety of features with Waterbear, malware previously attributed to the Chinese cyber espionage group BlackTech.), Kivars(Kivars is a modular remote access tool (RAT), derived from the Bifrost RAT, that was used by BlackTech in a 2010 campaign.), PLEAD(PLEAD is a remote access tool (RAT) and downloader used by BlackTech in targeted attacks in East Asia including Taiwan, Japan, and Hong Kong. PLEAD has also been referred to as TSCookie, though more recent reporting indicates likely separation between the two. PLEAD was observed in use as early as March 2017.), Waterbear(Waterbear is modular malware attributed to BlackTech that has been used primarily for lateral movement, decrypting, and triggering payloads and is capable of hiding network behaviors.)"
G0097,Bouncing Golf(Bouncing Golf is a cyberespionage campaign targeting Middle Eastern countries.) using the following: GolfSpy(GolfSpy is Android spyware deployed by the group Bouncing Golf.)
G0060,"BRONZE BUTLER(BRONZE BUTLER is a cyber espionage group with likely Chinese origins that has been active since at least 2008. The group primarily targets Japanese organizations, particularly those in government, biotechnology, electronics manufacturing, and industrial chemistry.) using the following: build_downer(build_downer is a downloader that has been used by BRONZE BUTLER since at least 2019.), BBK(BBK is a downloader that has been used by BRONZE BUTLER since at least 2019.), ABK(ABK is a downloader that has been used by BRONZE BUTLER since at least 2019.), Avenger(Avenger is a downloader that has been used by BRONZE BUTLER since at least 2019.), down_new(down_new is a downloader that has been used by BRONZE BUTLER since at least 2019.)"
G0008,"Carbanak(Carbanak is a cybercriminal group that has used Carbanak malware to target financial institutions since at least 2013. Carbanak may be linked to groups tracked separately as Cobalt Group and FIN7 that have also used Carbanak malware.) using the following: Carberp(Carberp is a credential and information stealing malware that has been active since at least 2009. Carberp's source code was leaked online in 2013, and subsequently used as the foundation for the Carbanak backdoor.), Carbanak(Carbanak is a full-featured, remote backdoor used by a group of the same name (Carbanak). It is intended for espionage, data exfiltration, and providing remote access to infected machines.), Lizar(Lizar is a modular remote access tool written using the .NET Framework that shares structural similarities to Carbanak. It has likely been used by FIN7 since at least February 2021.)"
G0003,Cleaver(Cleaver is a threat group that has been attributed to Iranian actors and is responsible for activity tracked as Operation Cleaver.  Strong circumstantial evidence suggests Cleaver is linked to Threat Group 2889 (TG-2889).) using the following: TinyZBot(TinyZBot is a bot written in C# that was developed by Cleaver.)
G0080,"Cobalt Group(Cobalt Group is a financially motivated threat group that has primarily targeted financial institutions since at least 2016. The group has conducted intrusions to steal money via targeting ATM systems, card processing, payment systems and SWIFT systems. Cobalt Group has mainly targeted banks in Eastern Europe, Central Asia, and Southeast Asia. One of the alleged leaders was arrested in Spain in early 2018, but the group still appears to be active. The group has been known to target organizations in order to use their access to then compromise additional victims. Reporting indicates there may be links between Cobalt Group and both the malware Carbanak and the group Carbanak.) using the following: More_eggs(More_eggs is a JScript backdoor used by Cobalt Group and FIN6. Its name was given based on the variable ""More_eggs"" being present in its code. There are at least two different versions of the backdoor being used, version 2.0 and version 4.4.), SpicyOmelette(SpicyOmelette is a JavaScript based remote access tool that has been used by Cobalt Group since at least 2018.)"
